date_key,full_date,day_name,day_of_month,week_of_month,month_name,month_num,quarter,year
19450101,01/01/1945,Monday,1,1,January,1,Q1,1945
19450102,02/01/1945,Tuesday,2,1,January,1,Q1,1945
19450103,03/01/1945,Wednesday,3,1,January,1,Q1,1945
19450104,04/01/1945,Thursday,4,1,January,1,Q1,1945
19450105,05/01/1945,Friday,5,1,January,1,Q1,1945
19450106,06/01/1945,Saturday,6,1,January,1,Q1,1945
19450107,07/01/1945,Sunday,7,1,January,1,Q1,1945
19450108,08/01/1945,Monday,8,2,January,1,Q1,1945
19450109,09/01/1945,Tuesday,9,2,January,1,Q1,1945
19450110,10/01/1945,Wednesday,10,2,January,1,Q1,1945
19450111,11/01/1945,Thursday,11,2,January,1,Q1,1945
19450112,12/01/1945,Friday,12,2,January,1,Q1,1945
19450113,13/01/1945,Saturday,13,2,January,1,Q1,1945
19450114,14/01/1945,Sunday,14,2,January,1,Q1,1945
19450115,15/01/1945,Monday,15,3,January,1,Q1,1945
19450116,16/01/1945,Tuesday,16,3,January,1,Q1,1945
19450117,17/01/1945,Wednesday,17,3,January,1,Q1,1945
19450118,18/01/1945,Thursday,18,3,January,1,Q1,1945
19450119,19/01/1945,Friday,19,3,January,1,Q1,1945
19450120,20/01/1945,Saturday,20,3,January,1,Q1,1945
19450121,21/01/1945,Sunday,21,3,January,1,Q1,1945
19450122,22/01/1945,Monday,22,4,January,1,Q1,1945
19450123,23/01/1945,Tuesday,23,4,January,1,Q1,1945
19450124,24/01/1945,Wednesday,24,4,January,1,Q1,1945
19450125,25/01/1945,Thursday,25,4,January,1,Q1,1945
19450126,26/01/1945,Friday,26,4,January,1,Q1,1945
19450127,27/01/1945,Saturday,27,4,January,1,Q1,1945
19450128,28/01/1945,Sunday,28,4,January,1,Q1,1945
19450129,29/01/1945,Monday,29,5,January,1,Q1,1945
19450130,30/01/1945,Tuesday,30,5,January,1,Q1,1945
19450131,31/01/1945,Wednesday,31,5,January,1,Q1,1945
19450201,01/02/1945,Thursday,1,1,February,2,Q1,1945
19450202,02/02/1945,Friday,2,1,February,2,Q1,1945
19450203,03/02/1945,Saturday,3,1,February,2,Q1,1945
19450204,04/02/1945,Sunday,4,1,February,2,Q1,1945
19450205,05/02/1945,Monday,5,1,February,2,Q1,1945
19450206,06/02/1945,Tuesday,6,1,February,2,Q1,1945
19450207,07/02/1945,Wednesday,7,1,February,2,Q1,1945
19450208,08/02/1945,Thursday,8,2,February,2,Q1,1945
19450209,09/02/1945,Friday,9,2,February,2,Q1,1945
19450210,10/02/1945,Saturday,10,2,February,2,Q1,1945
19450211,11/02/1945,Sunday,11,2,February,2,Q1,1945
19450212,12/02/1945,Monday,12,2,February,2,Q1,1945
19450213,13/02/1945,Tuesday,13,2,February,2,Q1,1945
19450214,14/02/1945,Wednesday,14,2,February,2,Q1,1945
19450215,15/02/1945,Thursday,15,3,February,2,Q1,1945
19450216,16/02/1945,Friday,16,3,February,2,Q1,1945
19450217,17/02/1945,Saturday,17,3,February,2,Q1,1945
19450218,18/02/1945,Sunday,18,3,February,2,Q1,1945
19450219,19/02/1945,Monday,19,3,February,2,Q1,1945
19450220,20/02/1945,Tuesday,20,3,February,2,Q1,1945
19450221,21/02/1945,Wednesday,21,3,February,2,Q1,1945
19450222,22/02/1945,Thursday,22,4,February,2,Q1,1945
19450223,23/02/1945,Friday,23,4,February,2,Q1,1945
19450224,24/02/1945,Saturday,24,4,February,2,Q1,1945
19450225,25/02/1945,Sunday,25,4,February,2,Q1,1945
19450226,26/02/1945,Monday,26,4,February,2,Q1,1945
19450227,27/02/1945,Tuesday,27,4,February,2,Q1,1945
19450228,28/02/1945,Wednesday,28,4,February,2,Q1,1945
19450301,01/03/1945,Thursday,1,1,March,3,Q1,1945
19450302,02/03/1945,Friday,2,1,March,3,Q1,1945
19450303,03/03/1945,Saturday,3,1,March,3,Q1,1945
19450304,04/03/1945,Sunday,4,1,March,3,Q1,1945
19450305,05/03/1945,Monday,5,1,March,3,Q1,1945
19450306,06/03/1945,Tuesday,6,1,March,3,Q1,1945
19450307,07/03/1945,Wednesday,7,1,March,3,Q1,1945
19450308,08/03/1945,Thursday,8,2,March,3,Q1,1945
19450309,09/03/1945,Friday,9,2,March,3,Q1,1945
19450310,10/03/1945,Saturday,10,2,March,3,Q1,1945
19450311,11/03/1945,Sunday,11,2,March,3,Q1,1945
19450312,12/03/1945,Monday,12,2,March,3,Q1,1945
19450313,13/03/1945,Tuesday,13,2,March,3,Q1,1945
19450314,14/03/1945,Wednesday,14,2,March,3,Q1,1945
19450315,15/03/1945,Thursday,15,3,March,3,Q1,1945
19450316,16/03/1945,Friday,16,3,March,3,Q1,1945
19450317,17/03/1945,Saturday,17,3,March,3,Q1,1945
19450318,18/03/1945,Sunday,18,3,March,3,Q1,1945
19450319,19/03/1945,Monday,19,3,March,3,Q1,1945
19450320,20/03/1945,Tuesday,20,3,March,3,Q1,1945
19450321,21/03/1945,Wednesday,21,3,March,3,Q1,1945
19450322,22/03/1945,Thursday,22,4,March,3,Q1,1945
19450323,23/03/1945,Friday,23,4,March,3,Q1,1945
19450324,24/03/1945,Saturday,24,4,March,3,Q1,1945
19450325,25/03/1945,Sunday,25,4,March,3,Q1,1945
19450326,26/03/1945,Monday,26,4,March,3,Q1,1945
19450327,27/03/1945,Tuesday,27,4,March,3,Q1,1945
19450328,28/03/1945,Wednesday,28,4,March,3,Q1,1945
19450329,29/03/1945,Thursday,29,5,March,3,Q1,1945
19450330,30/03/1945,Friday,30,5,March,3,Q1,1945
19450331,31/03/1945,Saturday,31,5,March,3,Q1,1945
19450401,01/04/1945,Sunday,1,1,April,4,Q2,1945
19450402,02/04/1945,Monday,2,1,April,4,Q2,1945
19450403,03/04/1945,Tuesday,3,1,April,4,Q2,1945
19450404,04/04/1945,Wednesday,4,1,April,4,Q2,1945
19450405,05/04/1945,Thursday,5,1,April,4,Q2,1945
19450406,06/04/1945,Friday,6,1,April,4,Q2,1945
19450407,07/04/1945,Saturday,7,1,April,4,Q2,1945
19450408,08/04/1945,Sunday,8,2,April,4,Q2,1945
19450409,09/04/1945,Monday,9,2,April,4,Q2,1945
19450410,10/04/1945,Tuesday,10,2,April,4,Q2,1945
19450411,11/04/1945,Wednesday,11,2,April,4,Q2,1945
19450412,12/04/1945,Thursday,12,2,April,4,Q2,1945
19450413,13/04/1945,Friday,13,2,April,4,Q2,1945
19450414,14/04/1945,Saturday,14,2,April,4,Q2,1945
19450415,15/04/1945,Sunday,15,3,April,4,Q2,1945
19450416,16/04/1945,Monday,16,3,April,4,Q2,1945
19450417,17/04/1945,Tuesday,17,3,April,4,Q2,1945
19450418,18/04/1945,Wednesday,18,3,April,4,Q2,1945
19450419,19/04/1945,Thursday,19,3,April,4,Q2,1945
19450420,20/04/1945,Friday,20,3,April,4,Q2,1945
19450421,21/04/1945,Saturday,21,3,April,4,Q2,1945
19450422,22/04/1945,Sunday,22,4,April,4,Q2,1945
19450423,23/04/1945,Monday,23,4,April,4,Q2,1945
19450424,24/04/1945,Tuesday,24,4,April,4,Q2,1945
19450425,25/04/1945,Wednesday,25,4,April,4,Q2,1945
19450426,26/04/1945,Thursday,26,4,April,4,Q2,1945
19450427,27/04/1945,Friday,27,4,April,4,Q2,1945
19450428,28/04/1945,Saturday,28,4,April,4,Q2,1945
19450429,29/04/1945,Sunday,29,5,April,4,Q2,1945
19450430,30/04/1945,Monday,30,5,April,4,Q2,1945
19450501,01/05/1945,Tuesday,1,1,May,5,Q2,1945
19450502,02/05/1945,Wednesday,2,1,May,5,Q2,1945
19450503,03/05/1945,Thursday,3,1,May,5,Q2,1945
19450504,04/05/1945,Friday,4,1,May,5,Q2,1945
19450505,05/05/1945,Saturday,5,1,May,5,Q2,1945
19450506,06/05/1945,Sunday,6,1,May,5,Q2,1945
19450507,07/05/1945,Monday,7,1,May,5,Q2,1945
19450508,08/05/1945,Tuesday,8,2,May,5,Q2,1945
19450509,09/05/1945,Wednesday,9,2,May,5,Q2,1945
19450510,10/05/1945,Thursday,10,2,May,5,Q2,1945
19450511,11/05/1945,Friday,11,2,May,5,Q2,1945
19450512,12/05/1945,Saturday,12,2,May,5,Q2,1945
19450513,13/05/1945,Sunday,13,2,May,5,Q2,1945
19450514,14/05/1945,Monday,14,2,May,5,Q2,1945
19450515,15/05/1945,Tuesday,15,3,May,5,Q2,1945
19450516,16/05/1945,Wednesday,16,3,May,5,Q2,1945
19450517,17/05/1945,Thursday,17,3,May,5,Q2,1945
19450518,18/05/1945,Friday,18,3,May,5,Q2,1945
19450519,19/05/1945,Saturday,19,3,May,5,Q2,1945
19450520,20/05/1945,Sunday,20,3,May,5,Q2,1945
19450521,21/05/1945,Monday,21,3,May,5,Q2,1945
19450522,22/05/1945,Tuesday,22,4,May,5,Q2,1945
19450523,23/05/1945,Wednesday,23,4,May,5,Q2,1945
19450524,24/05/1945,Thursday,24,4,May,5,Q2,1945
19450525,25/05/1945,Friday,25,4,May,5,Q2,1945
19450526,26/05/1945,Saturday,26,4,May,5,Q2,1945
19450527,27/05/1945,Sunday,27,4,May,5,Q2,1945
19450528,28/05/1945,Monday,28,4,May,5,Q2,1945
19450529,29/05/1945,Tuesday,29,5,May,5,Q2,1945
19450530,30/05/1945,Wednesday,30,5,May,5,Q2,1945
19450531,31/05/1945,Thursday,31,5,May,5,Q2,1945
19450601,01/06/1945,Friday,1,1,June,6,Q2,1945
19450602,02/06/1945,Saturday,2,1,June,6,Q2,1945
19450603,03/06/1945,Sunday,3,1,June,6,Q2,1945
19450604,04/06/1945,Monday,4,1,June,6,Q2,1945
19450605,05/06/1945,Tuesday,5,1,June,6,Q2,1945
19450606,06/06/1945,Wednesday,6,1,June,6,Q2,1945
19450607,07/06/1945,Thursday,7,1,June,6,Q2,1945
19450608,08/06/1945,Friday,8,2,June,6,Q2,1945
19450609,09/06/1945,Saturday,9,2,June,6,Q2,1945
19450610,10/06/1945,Sunday,10,2,June,6,Q2,1945
19450611,11/06/1945,Monday,11,2,June,6,Q2,1945
19450612,12/06/1945,Tuesday,12,2,June,6,Q2,1945
19450613,13/06/1945,Wednesday,13,2,June,6,Q2,1945
19450614,14/06/1945,Thursday,14,2,June,6,Q2,1945
19450615,15/06/1945,Friday,15,3,June,6,Q2,1945
19450616,16/06/1945,Saturday,16,3,June,6,Q2,1945
19450617,17/06/1945,Sunday,17,3,June,6,Q2,1945
19450618,18/06/1945,Monday,18,3,June,6,Q2,1945
19450619,19/06/1945,Tuesday,19,3,June,6,Q2,1945
19450620,20/06/1945,Wednesday,20,3,June,6,Q2,1945
19450621,21/06/1945,Thursday,21,3,June,6,Q2,1945
19450622,22/06/1945,Friday,22,4,June,6,Q2,1945
19450623,23/06/1945,Saturday,23,4,June,6,Q2,1945
19450624,24/06/1945,Sunday,24,4,June,6,Q2,1945
19450625,25/06/1945,Monday,25,4,June,6,Q2,1945
19450626,26/06/1945,Tuesday,26,4,June,6,Q2,1945
19450627,27/06/1945,Wednesday,27,4,June,6,Q2,1945
19450628,28/06/1945,Thursday,28,4,June,6,Q2,1945
19450629,29/06/1945,Friday,29,5,June,6,Q2,1945
19450630,30/06/1945,Saturday,30,5,June,6,Q2,1945
19450701,01/07/1945,Sunday,1,1,July,7,Q3,1945
19450702,02/07/1945,Monday,2,1,July,7,Q3,1945
19450703,03/07/1945,Tuesday,3,1,July,7,Q3,1945
19450704,04/07/1945,Wednesday,4,1,July,7,Q3,1945
19450705,05/07/1945,Thursday,5,1,July,7,Q3,1945
19450706,06/07/1945,Friday,6,1,July,7,Q3,1945
19450707,07/07/1945,Saturday,7,1,July,7,Q3,1945
19450708,08/07/1945,Sunday,8,2,July,7,Q3,1945
19450709,09/07/1945,Monday,9,2,July,7,Q3,1945
19450710,10/07/1945,Tuesday,10,2,July,7,Q3,1945
19450711,11/07/1945,Wednesday,11,2,July,7,Q3,1945
19450712,12/07/1945,Thursday,12,2,July,7,Q3,1945
19450713,13/07/1945,Friday,13,2,July,7,Q3,1945
19450714,14/07/1945,Saturday,14,2,July,7,Q3,1945
19450715,15/07/1945,Sunday,15,3,July,7,Q3,1945
19450716,16/07/1945,Monday,16,3,July,7,Q3,1945
19450717,17/07/1945,Tuesday,17,3,July,7,Q3,1945
19450718,18/07/1945,Wednesday,18,3,July,7,Q3,1945
19450719,19/07/1945,Thursday,19,3,July,7,Q3,1945
19450720,20/07/1945,Friday,20,3,July,7,Q3,1945
19450721,21/07/1945,Saturday,21,3,July,7,Q3,1945
19450722,22/07/1945,Sunday,22,4,July,7,Q3,1945
19450723,23/07/1945,Monday,23,4,July,7,Q3,1945
19450724,24/07/1945,Tuesday,24,4,July,7,Q3,1945
19450725,25/07/1945,Wednesday,25,4,July,7,Q3,1945
19450726,26/07/1945,Thursday,26,4,July,7,Q3,1945
19450727,27/07/1945,Friday,27,4,July,7,Q3,1945
19450728,28/07/1945,Saturday,28,4,July,7,Q3,1945
19450729,29/07/1945,Sunday,29,5,July,7,Q3,1945
19450730,30/07/1945,Monday,30,5,July,7,Q3,1945
19450731,31/07/1945,Tuesday,31,5,July,7,Q3,1945
19450801,01/08/1945,Wednesday,1,1,August,8,Q3,1945
19450802,02/08/1945,Thursday,2,1,August,8,Q3,1945
19450803,03/08/1945,Friday,3,1,August,8,Q3,1945
19450804,04/08/1945,Saturday,4,1,August,8,Q3,1945
19450805,05/08/1945,Sunday,5,1,August,8,Q3,1945
19450806,06/08/1945,Monday,6,1,August,8,Q3,1945
19450807,07/08/1945,Tuesday,7,1,August,8,Q3,1945
19450808,08/08/1945,Wednesday,8,2,August,8,Q3,1945
19450809,09/08/1945,Thursday,9,2,August,8,Q3,1945
19450810,10/08/1945,Friday,10,2,August,8,Q3,1945
19450811,11/08/1945,Saturday,11,2,August,8,Q3,1945
19450812,12/08/1945,Sunday,12,2,August,8,Q3,1945
19450813,13/08/1945,Monday,13,2,August,8,Q3,1945
19450814,14/08/1945,Tuesday,14,2,August,8,Q3,1945
19450815,15/08/1945,Wednesday,15,3,August,8,Q3,1945
19450816,16/08/1945,Thursday,16,3,August,8,Q3,1945
19450817,17/08/1945,Friday,17,3,August,8,Q3,1945
19450818,18/08/1945,Saturday,18,3,August,8,Q3,1945
19450819,19/08/1945,Sunday,19,3,August,8,Q3,1945
19450820,20/08/1945,Monday,20,3,August,8,Q3,1945
19450821,21/08/1945,Tuesday,21,3,August,8,Q3,1945
19450822,22/08/1945,Wednesday,22,4,August,8,Q3,1945
19450823,23/08/1945,Thursday,23,4,August,8,Q3,1945
19450824,24/08/1945,Friday,24,4,August,8,Q3,1945
19450825,25/08/1945,Saturday,25,4,August,8,Q3,1945
